date,season,league,gameType,home_team,away_team,home_score,away_score,home_q1,away_q1,home_q2,away_q2,home_q3,away_q3,home_q4,away_q4,home_ot,away_ot,game_id,round,phase
2016-10-12,2016-17,EuroCup,Regular Season,Lietkabelis Panevezys,MZT Skopje Aerodrom,90,89,27,22,23,13,24,23,16,31,,,e4d9c86c-91a8-5535-8786-ed043efeac92,1,Regular Season
2016-10-12,2016-17,EuroCup,Regular Season,Herbalife Gran Canaria Las Palmas,Cedevita Zagreb,101,76,22,16,32,18,23,27,24,15,,,51673448-4cc4-591d-a652-8391c8049542,1,Regular Season
2016-10-12,2016-17,EuroCup,Regular Season,UCAM Murcia,Buducnost VOLI Podgorica,86,77,19,16,19,20,22,16,26,25,,,edff0823-db68-534b-9306-be67cc78fb1c,1,Regular Season
2016-10-12,2016-17,EuroCup,Regular Season,Union Olimpija Ljubljana,Lokomotiv Kuban Krasnodar,67,73,15,13,12,19,19,21,21,20,2.0,5.0,b1777854-235f-57c5-9ddb-6666583f2c4f,1,Regular Season
2016-10-12,2016-17,EuroCup,Regular Season,Khimki Moscow Region,Lietuvos Rytas Vilnius,76,71,20,20,18,17,21,14,17,20,,,86906417-6130-5d97-a258-e85a66bd40a7,1,Regular Season
2016-10-12,2016-17,EuroCup,Regular Season,Zenit St Petersburg,FC Bayern Munich,80,77,24,12,23,25,16,23,17,17,,,ef4d3aca-07c7-5853-9692-17d530ecbd03,1,Regular Season
2016-10-12,2016-17,EuroCup,Regular Season,Valencia Basket,ratiopharm Ulm,95,58,26,16,22,18,23,11,24,13,,,e7899ebf-eaa4-5781-a69b-cd2efb674838,1,Regular Season
2016-10-12,2016-17,EuroCup,Regular Season,ALBA Berlin,Montakit Fuenlabrada,88,81,29,28,16,17,22,17,21,19,,,64e50dd2-3135-5f1c-8230-4e5f2e1c20f2,1,Regular Season
2016-10-18,2016-17,EuroCup,Regular Season,Nizhny Novgorod,Herbalife Gran Canaria Las Palmas,80,106,24,36,18,21,19,21,19,28,,,54f80873-c02e-56b4-97a8-1e240196f754,2,Regular Season
2016-10-19,2016-17,EuroCup,Regular Season,RETAbet Bilbao Basket,ALBA Berlin,77,86,12,15,25,21,19,21,21,28,,19.0,9a0d313b-c1f6-55f8-b4fd-15ea915b8e2d,2,Regular Season
