date,season,league,gameType,home_team,away_team,home_score,away_score
2023-10-01,2023-24,France LNB,Regular Season,LDLC ASVEL,Blois,85,77
2023-10-01,2023-24,France LNB,Regular Season,LDLC ASVEL,Élan Chalon,79,72
2023-10-02,2023-24,France LNB,Regular Season,LDLC ASVEL,Cholet,100,95
2023-10-03,2023-24,France LNB,Regular Season,LDLC ASVEL,JDA Dijon,79,74
2023-10-04,2023-24,France LNB,Regular Season,LDLC ASVEL,BCM Gravelines-Dunkerque,86,83
2023-10-05,2023-24,France LNB,Regular Season,LDLC ASVEL,JL Bourg,84,61
2023-10-06,2023-24,France LNB,Regular Season,LDLC ASVEL,Limoges CSP,77,66
2023-10-07,2023-24,France LNB,Regular Season,LDLC ASVEL,AS Monaco,79,87
2023-10-08,2023-24,France LNB,Regular Season,LDLC ASVEL,Le Mans Sarthe,89,75
2023-10-08,2023-24,France LNB,Regular Season,LDLC ASVEL,Metropolitans 92,102,76
2023-10-09,2023-24,France LNB,Regular Season,LDLC ASVEL,SLUC Nancy,89,64
2023-10-10,2023-24,France LNB,Regular Season,LDLC ASVEL,Nanterre 92,100,76
2023-10-11,2023-24,France LNB,Regular Season,LDLC ASVEL,Paris Basketball,66,86
2023-10-12,2023-24,France LNB,Regular Season,LDLC ASVEL,ESSM Le Portel,85,70
2023-10-13,2023-24,France LNB,Regular Season,LDLC ASVEL,Roanne,93,88
2023-10-14,2023-24,France LNB,Regular Season,LDLC ASVEL,Saint-Quentin,79,77
2023-10-15,2023-24,France LNB,Regular Season,LDLC ASVEL,SIG Strasbourg,91,72
2023-10-16,2023-24,France LNB,Regular Season,Blois,Élan Chalon,92,95
2023-10-16,2023-24,France LNB,Regular Season,Blois,LDLC ASVEL,72,98
2023-10-17,2023-24,France LNB,Regular Season,Blois,Cholet,78,80
2023-10-18,2023-24,France LNB,Regular Season,Blois,JDA Dijon,85,84
2023-10-19,2023-24,France LNB,Regular Season,Blois,BCM Gravelines-Dunkerque,81,73
2023-10-20,2023-24,France LNB,Regular Season,Blois,JL Bourg,102,93
2023-10-21,2023-24,France LNB,Regular Season,Blois,Limoges CSP,75,73
2023-10-22,2023-24,France LNB,Regular Season,Blois,AS Monaco,73,89
2023-10-23,2023-24,France LNB,Regular Season,Blois,Metropolitans 92,95,84
2023-10-24,2023-24,France LNB,Regular Season,Blois,SLUC Nancy,99,98
2023-10-24,2023-24,France LNB,Regular Season,Blois,Le Mans Sarthe,78,80
2023-10-25,2023-24,France LNB,Regular Season,Blois,Nanterre 92,78,89
2023-10-26,2023-24,France LNB,Regular Season,Blois,Paris Basketball,88,92
2023-10-27,2023-24,France LNB,Regular Season,Blois,ESSM Le Portel,71,80
2023-10-28,2023-24,France LNB,Regular Season,Blois,Roanne,77,80
2023-10-29,2023-24,France LNB,Regular Season,Blois,Saint-Quentin,60,75
2023-10-30,2023-24,France LNB,Regular Season,Blois,SIG Strasbourg,68,73
2023-10-31,2023-24,France LNB,Regular Season,Élan Chalon,LDLC ASVEL,88,87
2023-10-31,2023-24,France LNB,Regular Season,Élan Chalon,Blois,93,75
2023-11-01,2023-24,France LNB,Regular Season,Élan Chalon,Cholet,79,81
2023-11-02,2023-24,France LNB,Regular Season,Élan Chalon,JDA Dijon,76,84
