date,season,league,gameType,home_team,away_team,home_score,away_score
2021-10-01,2021-22,Germany BBL,Regular Season,Brose Bamberg,Medi Bayreuth,84,87
2021-10-01,2021-22,Germany BBL,Regular Season,Brose Bamberg,Alba Berlin,89,101
2021-10-02,2021-22,Germany BBL,Regular Season,Brose Bamberg,Telekom Baskets Bonn,80,100
2021-10-03,2021-22,Germany BBL,Regular Season,Brose Bamberg,Basketball Löwen Braunschweig,84,68
2021-10-04,2021-22,Germany BBL,Regular Season,Brose Bamberg,Niners Chemnitz,79,89
2021-10-05,2021-22,Germany BBL,Regular Season,Brose Bamberg,Crailsheim Merlins,91,81
2021-10-06,2021-22,Germany BBL,Regular Season,Brose Bamberg,Skyliners Frankfurt,75,72
2021-10-07,2021-22,Germany BBL,Regular Season,Brose Bamberg,Giessen 46ers,89,87
2021-10-08,2021-22,Germany BBL,Regular Season,Brose Bamberg,Hamburg Towers,77,67
2021-10-08,2021-22,Germany BBL,Regular Season,Brose Bamberg,BG Göttingen,88,87
2021-10-09,2021-22,Germany BBL,Regular Season,Brose Bamberg,MLP Academics Heidelberg,72,68
2021-10-10,2021-22,Germany BBL,Regular Season,Brose Bamberg,Riesen Ludwigsburg,81,88
2021-10-11,2021-22,Germany BBL,Regular Season,Brose Bamberg,Mitteldeutscher BC,87,78
2021-10-12,2021-22,Germany BBL,Regular Season,Brose Bamberg,Bayern Munich,86,95
2021-10-13,2021-22,Germany BBL,Regular Season,Brose Bamberg,Baskets Oldenburg,83,106
2021-10-14,2021-22,Germany BBL,Regular Season,Brose Bamberg,ratiopharm Ulm,115,114
2021-10-15,2021-22,Germany BBL,Regular Season,Brose Bamberg,s.Oliver Würzburg,97,78
2021-10-16,2021-22,Germany BBL,Regular Season,Medi Bayreuth,Alba Berlin,79,109
2021-10-16,2021-22,Germany BBL,Regular Season,Medi Bayreuth,Brose Bamberg,71,84
2021-10-17,2021-22,Germany BBL,Regular Season,Medi Bayreuth,Telekom Baskets Bonn,71,96
2021-10-18,2021-22,Germany BBL,Regular Season,Medi Bayreuth,Basketball Löwen Braunschweig,94,92
2021-10-19,2021-22,Germany BBL,Regular Season,Medi Bayreuth,Niners Chemnitz,69,83
2021-10-20,2021-22,Germany BBL,Regular Season,Medi Bayreuth,Crailsheim Merlins,74,86
2021-10-21,2021-22,Germany BBL,Regular Season,Medi Bayreuth,Skyliners Frankfurt,85,72
2021-10-22,2021-22,Germany BBL,Regular Season,Medi Bayreuth,Giessen 46ers,89,95
2021-10-23,2021-22,Germany BBL,Regular Season,Medi Bayreuth,BG Göttingen,75,72
2021-10-24,2021-22,Germany BBL,Regular Season,Medi Bayreuth,MLP Academics Heidelberg,85,79
2021-10-24,2021-22,Germany BBL,Regular Season,Medi Bayreuth,Hamburg Towers,90,71
2021-10-25,2021-22,Germany BBL,Regular Season,Medi Bayreuth,Riesen Ludwigsburg,87,93
2021-10-26,2021-22,Germany BBL,Regular Season,Medi Bayreuth,Mitteldeutscher BC,100,68
2021-10-27,2021-22,Germany BBL,Regular Season,Medi Bayreuth,Bayern Munich,78,87
2021-10-28,2021-22,Germany BBL,Regular Season,Medi Bayreuth,Baskets Oldenburg,71,74
2021-10-29,2021-22,Germany BBL,Regular Season,Medi Bayreuth,ratiopharm Ulm,73,80
2021-10-30,2021-22,Germany BBL,Regular Season,Medi Bayreuth,s.Oliver Würzburg,80,83
2021-10-31,2021-22,Germany BBL,Regular Season,Alba Berlin,Medi Bayreuth,87,53
2021-10-31,2021-22,Germany BBL,Regular Season,Alba Berlin,Brose Bamberg,89,57
2021-11-01,2021-22,Germany BBL,Regular Season,Alba Berlin,Telekom Baskets Bonn,86,88
2021-11-02,2021-22,Germany BBL,Regular Season,Alba Berlin,Basketball Löwen Braunschweig,95,80
