date,season,league,gameType,home_team,away_team,home_score,away_score
2022-09-01,2022-23,Italy LBA,Regular Season,Germani Brescia,Happy Casa Brindisi,75,69
2022-09-02,2022-23,Italy LBA,Regular Season,Germani Brescia,EA7 Emporio Armani Milano,83,74
2022-09-03,2022-23,Italy LBA,Regular Season,Germani Brescia,Generazione Vincente Napoli Basket,95,72
2022-09-04,2022-23,Italy LBA,Regular Season,Germani Brescia,Carpegna Prosciutto Pesaro,97,98
2022-09-06,2022-23,Italy LBA,Regular Season,Germani Brescia,UNAHOTELS Reggio Emilia,84,77
2022-09-07,2022-23,Italy LBA,Regular Season,Germani Brescia,Banco di Sardegna Sassari,80,93
2022-09-08,2022-23,Italy LBA,Regular Season,Germani Brescia,Givova Scafati,82,81
2022-09-09,2022-23,Italy LBA,Regular Season,Germani Brescia,Bertram Derthona Tortona,83,68
2022-09-11,2022-23,Italy LBA,Regular Season,Germani Brescia,Dolomiti Energia Trento,73,78
2022-09-12,2022-23,Italy LBA,Regular Season,Germani Brescia,Allianz Pallacanestro Trieste,95,59
2022-09-13,2022-23,Italy LBA,Regular Season,Germani Brescia,NutriBullet Treviso,80,81
2022-09-14,2022-23,Italy LBA,Regular Season,Germani Brescia,Openjobmetis Varese,88,83
2022-09-16,2022-23,Italy LBA,Regular Season,Germani Brescia,Tezenis Verona,88,79
2022-09-17,2022-23,Italy LBA,Regular Season,Germani Brescia,Umana Reyer Venezia,74,79
2022-09-18,2022-23,Italy LBA,Regular Season,Germani Brescia,Virtus Segafredo Bologna,77,89
2022-09-19,2022-23,Italy LBA,Regular Season,Happy Casa Brindisi,Germani Brescia,82,81
2022-09-21,2022-23,Italy LBA,Regular Season,Happy Casa Brindisi,EA7 Emporio Armani Milano,79,98
2022-09-22,2022-23,Italy LBA,Regular Season,Happy Casa Brindisi,Generazione Vincente Napoli Basket,77,70
2022-09-23,2022-23,Italy LBA,Regular Season,Happy Casa Brindisi,Carpegna Prosciutto Pesaro,74,102
2022-09-24,2022-23,Italy LBA,Regular Season,Happy Casa Brindisi,UNAHOTELS Reggio Emilia,81,74
2022-09-26,2022-23,Italy LBA,Regular Season,Happy Casa Brindisi,Banco di Sardegna Sassari,92,58
2022-09-27,2022-23,Italy LBA,Regular Season,Happy Casa Brindisi,Givova Scafati,71,75
2022-09-28,2022-23,Italy LBA,Regular Season,Happy Casa Brindisi,Bertram Derthona Tortona,86,84
2022-09-29,2022-23,Italy LBA,Regular Season,Happy Casa Brindisi,Dolomiti Energia Trento,73,86
2022-10-01,2022-23,Italy LBA,Regular Season,Happy Casa Brindisi,Allianz Pallacanestro Trieste,92,70
2022-10-02,2022-23,Italy LBA,Regular Season,Happy Casa Brindisi,NutriBullet Treviso,107,84
2022-10-03,2022-23,Italy LBA,Regular Season,Happy Casa Brindisi,Openjobmetis Varese,90,104
2022-10-04,2022-23,Italy LBA,Regular Season,Happy Casa Brindisi,Tezenis Verona,102,68
2022-10-06,2022-23,Italy LBA,Regular Season,Happy Casa Brindisi,Umana Reyer Venezia,75,63
2022-10-07,2022-23,Italy LBA,Regular Season,Happy Casa Brindisi,Virtus Segafredo Bologna,78,77
2022-10-08,2022-23,Italy LBA,Regular Season,EA7 Emporio Armani Milano,Germani Brescia,78,77
2022-10-09,2022-23,Italy LBA,Regular Season,EA7 Emporio Armani Milano,Happy Casa Brindisi,83,82
2022-10-11,2022-23,Italy LBA,Regular Season,EA7 Emporio Armani Milano,Generazione Vincente Napoli Basket,88,76
2022-10-12,2022-23,Italy LBA,Regular Season,EA7 Emporio Armani Milano,Carpegna Prosciutto Pesaro,102,70
2022-10-13,2022-23,Italy LBA,Regular Season,EA7 Emporio Armani Milano,UNAHOTELS Reggio Emilia,81,63
2022-10-14,2022-23,Italy LBA,Regular Season,EA7 Emporio Armani Milano,Banco di Sardegna Sassari,79,67
2022-10-16,2022-23,Italy LBA,Regular Season,EA7 Emporio Armani Milano,Givova Scafati,89,80
2022-10-17,2022-23,Italy LBA,Regular Season,EA7 Emporio Armani Milano,Bertram Derthona Tortona,79,63
2022-10-18,2022-23,Italy LBA,Regular Season,EA7 Emporio Armani Milano,Dolomiti Energia Trento,78,65
2022-10-19,2022-23,Italy LBA,Regular Season,EA7 Emporio Armani Milano,Allianz Pallacanestro Trieste,98,81
2022-10-21,2022-23,Italy LBA,Regular Season,EA7 Emporio Armani Milano,NutriBullet Treviso,92,78
2022-10-22,2022-23,Italy LBA,Regular Season,EA7 Emporio Armani Milano,Openjobmetis Varese,96,84
2022-10-23,2022-23,Italy LBA,Regular Season,EA7 Emporio Armani Milano,Tezenis Verona,78,54
2022-10-24,2022-23,Italy LBA,Regular Season,EA7 Emporio Armani Milano,Umana Reyer Venezia,73,76
2022-10-26,2022-23,Italy LBA,Regular Season,EA7 Emporio Armani Milano,Virtus Segafredo Bologna,69,75
2022-10-27,2022-23,Italy LBA,Regular Season,Generazione Vincente Napoli Basket,Germani Brescia,69,72
2022-10-28,2022-23,Italy LBA,Regular Season,Generazione Vincente Napoli Basket,Happy Casa Brindisi,80,96
2022-10-29,2022-23,Italy LBA,Regular Season,Generazione Vincente Napoli Basket,EA7 Emporio Armani Milano,87,81
2022-10-31,2022-23,Italy LBA,Regular Season,Generazione Vincente Napoli Basket,Carpegna Prosciutto Pesaro,98,87
2022-11-01,2022-23,Italy LBA,Regular Season,Generazione Vincente Napoli Basket,UNAHOTELS Reggio Emilia,73,67
2022-11-02,2022-23,Italy LBA,Regular Season,Generazione Vincente Napoli Basket,Banco di Sardegna Sassari,93,83
2022-11-03,2022-23,Italy LBA,Regular Season,Generazione Vincente Napoli Basket,Givova Scafati,71,69
2022-11-05,2022-23,Italy LBA,Regular Season,Generazione Vincente Napoli Basket,Bertram Derthona Tortona,82,69
2022-11-06,2022-23,Italy LBA,Regular Season,Generazione Vincente Napoli Basket,Dolomiti Energia Trento,69,58
2022-11-07,2022-23,Italy LBA,Regular Season,Generazione Vincente Napoli Basket,Allianz Pallacanestro Trieste,92,95
2022-11-08,2022-23,Italy LBA,Regular Season,Generazione Vincente Napoli Basket,NutriBullet Treviso,84,82
2022-11-10,2022-23,Italy LBA,Regular Season,Generazione Vincente Napoli Basket,Openjobmetis Varese,93,101
2022-11-11,2022-23,Italy LBA,Regular Season,Generazione Vincente Napoli Basket,Tezenis Verona,74,80
2022-11-12,2022-23,Italy LBA,Regular Season,Generazione Vincente Napoli Basket,Umana Reyer Venezia,91,93
2022-11-13,2022-23,Italy LBA,Regular Season,Generazione Vincente Napoli Basket,Virtus Segafredo Bologna,77,89
2022-11-15,2022-23,Italy LBA,Regular Season,Carpegna Prosciutto Pesaro,Germani Brescia,88,79
2022-11-16,2022-23,Italy LBA,Regular Season,Carpegna Prosciutto Pesaro,Happy Casa Brindisi,70,100
2022-11-17,2022-23,Italy LBA,Regular Season,Carpegna Prosciutto Pesaro,EA7 Emporio Armani Milano,71,85
2022-11-18,2022-23,Italy LBA,Regular Season,Carpegna Prosciutto Pesaro,Generazione Vincente Napoli Basket,97,99
2022-11-20,2022-23,Italy LBA,Regular Season,Carpegna Prosciutto Pesaro,UNAHOTELS Reggio Emilia,85,74
2022-11-21,2022-23,Italy LBA,Regular Season,Carpegna Prosciutto Pesaro,Banco di Sardegna Sassari,81,75
2022-11-22,2022-23,Italy LBA,Regular Season,Carpegna Prosciutto Pesaro,Givova Scafati,79,86
2022-11-23,2022-23,Italy LBA,Regular Season,Carpegna Prosciutto Pesaro,Bertram Derthona Tortona,82,78
2022-11-25,2022-23,Italy LBA,Regular Season,Carpegna Prosciutto Pesaro,Dolomiti Energia Trento,70,84
2022-11-26,2022-23,Italy LBA,Regular Season,Carpegna Prosciutto Pesaro,Allianz Pallacanestro Trieste,94,83
2022-11-27,2022-23,Italy LBA,Regular Season,Carpegna Prosciutto Pesaro,NutriBullet Treviso,101,72
