date,season,league,gameType,home_team,away_team,home_score,away_score
2021-10-01,2021-22,Lithuania LKL,Regular Season,Cbet Jonava,DZU,85,63
2021-10-02,2021-22,Lithuania LKL,Regular Season,Cbet Jonava,GAS,93,77
2021-10-03,2021-22,Lithuania LKL,Regular Season,Cbet Jonava,LTK,74,66
2021-10-05,2021-22,Lithuania LKL,Regular Season,Cbet Jonava,NEP,64,89
2021-10-06,2021-22,Lithuania LKL,Regular Season,Cbet Jonava,NEV,88,76
2021-10-08,2021-22,Lithuania LKL,Regular Season,Cbet Jonava,PIE,77,69
2021-10-09,2021-22,Lithuania LKL,Regular Season,Cbet Jonava,RYT,79,94
2021-10-11,2021-22,Lithuania LKL,Regular Season,Cbet Jonava,SIA,58,69
2021-10-12,2021-22,Lithuania LKL,Regular Season,Cbet Jonava,JUV,86,80
2021-10-14,2021-22,Lithuania LKL,Regular Season,Cbet Jonava,ZAL,80,86
2021-10-15,2021-22,Lithuania LKL,Regular Season,Cbet Jonava,GAS,100,84
2021-10-16,2021-22,Lithuania LKL,Regular Season,Cbet Jonava,PIE,91,82
2021-10-18,2021-22,Lithuania LKL,Regular Season,Cbet Jonava,RYT,67,91
2021-10-19,2021-22,Lithuania LKL,Regular Season,Cbet Jonava,SIA,62,79
2021-10-21,2021-22,Lithuania LKL,Regular Season,Cbet Jonava,JUV,65,71
2021-10-22,2021-22,Lithuania LKL,Regular Season,Cbet Jonava,ZAL,100,97
2021-10-24,2021-22,Lithuania LKL,Regular Season,Dzūkija,CBE,86,62
2021-10-25,2021-22,Lithuania LKL,Regular Season,Dzūkija,GAS,72,69
2021-10-27,2021-22,Lithuania LKL,Regular Season,Dzūkija,LTK,65,76
2021-10-28,2021-22,Lithuania LKL,Regular Season,Dzūkija,NEP,67,79
2021-10-29,2021-22,Lithuania LKL,Regular Season,Dzūkija,NEV,81,66
2021-10-31,2021-22,Lithuania LKL,Regular Season,Dzūkija,PIE,92,86
2021-11-01,2021-22,Lithuania LKL,Regular Season,Dzūkija,RYT,61,88
2021-11-03,2021-22,Lithuania LKL,Regular Season,Dzūkija,SIA,75,66
2021-11-04,2021-22,Lithuania LKL,Regular Season,Dzūkija,JUV,83,80
2021-11-06,2021-22,Lithuania LKL,Regular Season,Dzūkija,ZAL,100,105
2021-11-07,2021-22,Lithuania LKL,Regular Season,Dzūkija,CBE,73,81
2021-11-09,2021-22,Lithuania LKL,Regular Season,Dzūkija,LTK,86,90
2021-11-10,2021-22,Lithuania LKL,Regular Season,Dzūkija,NEP,64,65
2021-11-12,2021-22,Lithuania LKL,Regular Season,Dzūkija,NEV,93,76
2021-11-13,2021-22,Lithuania LKL,Regular Season,Dzūkija,ZAL,63,74
2021-11-14,2021-22,Lithuania LKL,Regular Season,Labas GAS,CBE,68,81
2021-11-16,2021-22,Lithuania LKL,Regular Season,Labas GAS,DZU,70,77
2021-11-17,2021-22,Lithuania LKL,Regular Season,Labas GAS,LTK,65,92
2021-11-19,2021-22,Lithuania LKL,Regular Season,Labas GAS,NEP,62,87
2021-11-20,2021-22,Lithuania LKL,Regular Season,Labas GAS,NEV,93,102
2021-11-22,2021-22,Lithuania LKL,Regular Season,Labas GAS,PIE,79,87
2021-11-23,2021-22,Lithuania LKL,Regular Season,Labas GAS,RYT,68,82
2021-11-25,2021-22,Lithuania LKL,Regular Season,Labas GAS,SIA,88,109
2021-11-26,2021-22,Lithuania LKL,Regular Season,Labas GAS,JUV,80,74
2021-11-27,2021-22,Lithuania LKL,Regular Season,Labas GAS,ZAL,78,81
2021-11-29,2021-22,Lithuania LKL,Regular Season,Labas GAS,DZU,62,72
2021-11-30,2021-22,Lithuania LKL,Regular Season,Labas GAS,NEP,63,73
2021-12-02,2021-22,Lithuania LKL,Regular Season,Labas GAS,NEV,86,97
2021-12-03,2021-22,Lithuania LKL,Regular Season,Labas GAS,JUV,88,81
2021-12-05,2021-22,Lithuania LKL,Regular Season,Labas GAS,ZAL,71,88
2021-12-06,2021-22,Lithuania LKL,Regular Season,Lietkabelis,CBE,88,69
2021-12-08,2021-22,Lithuania LKL,Regular Season,Lietkabelis,DZU,94,63
2021-12-09,2021-22,Lithuania LKL,Regular Season,Lietkabelis,GAS,87,69
2021-12-10,2021-22,Lithuania LKL,Regular Season,Lietkabelis,NEP,83,62
2021-12-12,2021-22,Lithuania LKL,Regular Season,Lietkabelis,NEV,60,67
2021-12-13,2021-22,Lithuania LKL,Regular Season,Lietkabelis,PIE,88,70
2021-12-15,2021-22,Lithuania LKL,Regular Season,Lietkabelis,RYT,83,80
2021-12-16,2021-22,Lithuania LKL,Regular Season,Lietkabelis,SIA,87,76
2021-12-18,2021-22,Lithuania LKL,Regular Season,Lietkabelis,JUV,92,89
2021-12-19,2021-22,Lithuania LKL,Regular Season,Lietkabelis,ZAL,69,73
2021-12-21,2021-22,Lithuania LKL,Regular Season,Lietkabelis,CBE,103,71
2021-12-22,2021-22,Lithuania LKL,Regular Season,Lietkabelis,GAS,82,73
2021-12-24,2021-22,Lithuania LKL,Regular Season,Lietkabelis,PIE,82,87
2021-12-25,2021-22,Lithuania LKL,Regular Season,Lietkabelis,RYT,86,90
2021-12-26,2021-22,Lithuania LKL,Regular Season,Lietkabelis,SIA,71,66
2021-12-28,2021-22,Lithuania LKL,Regular Season,Lietkabelis,ZAL,85,67
2021-12-29,2021-22,Lithuania LKL,Regular Season,Neptūnas,CBE,75,87
2021-12-31,2021-22,Lithuania LKL,Regular Season,Neptūnas,DZU,70,85
2022-01-01,2021-22,Lithuania LKL,Regular Season,Neptūnas,GAS,88,82
2022-01-03,2021-22,Lithuania LKL,Regular Season,Neptūnas,LTK,53,81
2022-01-04,2021-22,Lithuania LKL,Regular Season,Neptūnas,NEV,94,87
2022-01-06,2021-22,Lithuania LKL,Regular Season,Neptūnas,PIE,75,71
2022-01-07,2021-22,Lithuania LKL,Regular Season,Neptūnas,RYT,81,89
2022-01-08,2021-22,Lithuania LKL,Regular Season,Neptūnas,SIA,86,94
2022-01-10,2021-22,Lithuania LKL,Regular Season,Neptūnas,JUV,79,88
2022-01-11,2021-22,Lithuania LKL,Regular Season,Neptūnas,ZAL,60,77
2022-01-13,2021-22,Lithuania LKL,Regular Season,Neptūnas,CBE,75,78
2022-01-14,2021-22,Lithuania LKL,Regular Season,Neptūnas,LTK,73,83
2022-01-16,2021-22,Lithuania LKL,Regular Season,Neptūnas,NEV,95,61
2022-01-17,2021-22,Lithuania LKL,Regular Season,Neptūnas,PIE,91,95
2022-01-19,2021-22,Lithuania LKL,Regular Season,Neptūnas,RYT,93,88
2022-01-20,2021-22,Lithuania LKL,Regular Season,Neptūnas,ZAL,57,77
2022-01-21,2021-22,Lithuania LKL,Regular Season,Nevėžis–OPTIBET,CBE,95,100
2022-01-23,2021-22,Lithuania LKL,Regular Season,Nevėžis–OPTIBET,DZU,83,78
2022-01-24,2021-22,Lithuania LKL,Regular Season,Nevėžis–OPTIBET,GAS,90,80
2022-01-26,2021-22,Lithuania LKL,Regular Season,Nevėžis–OPTIBET,LTK,77,78
2022-01-27,2021-22,Lithuania LKL,Regular Season,Nevėžis–OPTIBET,NEP,83,88
2022-01-29,2021-22,Lithuania LKL,Regular Season,Nevėžis–OPTIBET,PIE,73,79
2022-01-30,2021-22,Lithuania LKL,Regular Season,Nevėžis–OPTIBET,RYT,68,100
2022-02-01,2021-22,Lithuania LKL,Regular Season,Nevėžis–OPTIBET,SIA,66,79
2022-02-02,2021-22,Lithuania LKL,Regular Season,Nevėžis–OPTIBET,JUV,73,75
2022-02-04,2021-22,Lithuania LKL,Regular Season,Nevėžis–OPTIBET,ZAL,69,77
2022-02-05,2021-22,Lithuania LKL,Regular Season,Nevėžis–OPTIBET,CBE,88,92
2022-02-06,2021-22,Lithuania LKL,Regular Season,Nevėžis–OPTIBET,LTK,60,85
2022-02-08,2021-22,Lithuania LKL,Regular Season,Nevėžis–OPTIBET,PIE,85,92
2022-02-09,2021-22,Lithuania LKL,Regular Season,Nevėžis–OPTIBET,RYT,85,109
2022-02-11,2021-22,Lithuania LKL,Regular Season,Nevėžis–OPTIBET,SIA,93,83
2022-02-12,2021-22,Lithuania LKL,Regular Season,Nevėžis–OPTIBET,ZAL,64,72
2022-02-14,2021-22,Lithuania LKL,Regular Season,Pieno žvaigždės,CBE,76,80
2022-02-15,2021-22,Lithuania LKL,Regular Season,Pieno žvaigždės,DZU,75,81
2022-02-17,2021-22,Lithuania LKL,Regular Season,Pieno žvaigždės,GAS,78,81
2022-02-18,2021-22,Lithuania LKL,Regular Season,Pieno žvaigždės,LTK,97,107
2022-02-19,2021-22,Lithuania LKL,Regular Season,Pieno žvaigždės,NEP,69,82
2022-02-21,2021-22,Lithuania LKL,Regular Season,Pieno žvaigždės,NEV,87,88
2022-02-22,2021-22,Lithuania LKL,Regular Season,Pieno žvaigždės,RYT,66,76
2022-02-24,2021-22,Lithuania LKL,Regular Season,Pieno žvaigždės,SIA,108,90
2022-02-25,2021-22,Lithuania LKL,Regular Season,Pieno žvaigždės,JUV,76,90
2022-02-27,2021-22,Lithuania LKL,Regular Season,Pieno žvaigždės,ZAL,69,85
2022-02-28,2021-22,Lithuania LKL,Regular Season,Pieno žvaigždės,DZU,101,78
2022-03-02,2021-22,Lithuania LKL,Regular Season,Pieno žvaigždės,GAS,106,102
2022-03-03,2021-22,Lithuania LKL,Regular Season,Pieno žvaigždės,SIA,67,89
2022-03-04,2021-22,Lithuania LKL,Regular Season,Pieno žvaigždės,JUV,92,84
2022-03-06,2021-22,Lithuania LKL,Regular Season,Pieno žvaigždės,ZAL,83,102
2022-03-07,2021-22,Lithuania LKL,Regular Season,Rytas,CBE,76,60
2022-03-09,2021-22,Lithuania LKL,Regular Season,Rytas,DZU,81,65
2022-03-10,2021-22,Lithuania LKL,Regular Season,Rytas,GAS,106,77
