date,season,league,gameType,home_team,away_team,home_score,away_score
2021-09-01,2021-22,Spain ACB,Regular Season,Barça,Baxi Manresa,95,96
2021-09-01,2021-22,Spain ACB,Regular Season,Barça,Bitci Baskonia,78,91
2021-09-02,2021-22,Spain ACB,Regular Season,Barça,Casademont Zaragoza,76,63
2021-09-03,2021-22,Spain ACB,Regular Season,Barça,Coosur Real Betis,83,63
2021-09-04,2021-22,Spain ACB,Regular Season,Barça,Gran Canaria,98,80
2021-09-05,2021-22,Spain ACB,Regular Season,Barça,Hereda San Pablo Burgos,84,69
2021-09-06,2021-22,Spain ACB,Regular Season,Barça,Joventut,99,84
2021-09-07,2021-22,Spain ACB,Regular Season,Barça,Lenovo Tenerife,69,65
2021-09-08,2021-22,Spain ACB,Regular Season,Barça,Monbus Obradoiro,83,67
2021-09-09,2021-22,Spain ACB,Regular Season,Barça,MoraBanc Andorra,107,88
2021-09-10,2021-22,Spain ACB,Regular Season,Barça,Real Madrid,108,97
2021-09-11,2021-22,Spain ACB,Regular Season,Barça,Río Breogán,78,69
2021-09-12,2021-22,Spain ACB,Regular Season,Barça,Surne Bilbao Basket,84,62
2021-09-13,2021-22,Spain ACB,Regular Season,Barça,UCAM Murcia,85,78
2021-09-14,2021-22,Spain ACB,Regular Season,Barça,Unicaja,63,73
2021-09-15,2021-22,Spain ACB,Regular Season,Barça,Urbas Fuenlabrada,79,69
2021-09-16,2021-22,Spain ACB,Regular Season,Barça,Valencia Basket,79,87
2021-09-17,2021-22,Spain ACB,Regular Season,Baxi Manresa,Barça,80,94
2021-09-18,2021-22,Spain ACB,Regular Season,Baxi Manresa,Bitci Baskonia,74,67
2021-09-19,2021-22,Spain ACB,Regular Season,Baxi Manresa,Casademont Zaragoza,94,73
2021-09-20,2021-22,Spain ACB,Regular Season,Baxi Manresa,Coosur Real Betis,96,102
2021-09-21,2021-22,Spain ACB,Regular Season,Baxi Manresa,Gran Canaria,91,72
2021-09-22,2021-22,Spain ACB,Regular Season,Baxi Manresa,Hereda San Pablo Burgos,93,68
2021-09-23,2021-22,Spain ACB,Regular Season,Baxi Manresa,Joventut,95,91
2021-09-24,2021-22,Spain ACB,Regular Season,Baxi Manresa,Lenovo Tenerife,95,93
2021-09-25,2021-22,Spain ACB,Regular Season,Baxi Manresa,Monbus Obradoiro,104,84
2021-09-26,2021-22,Spain ACB,Regular Season,Baxi Manresa,MoraBanc Andorra,94,60
2021-09-27,2021-22,Spain ACB,Regular Season,Baxi Manresa,Real Madrid,87,92
2021-09-28,2021-22,Spain ACB,Regular Season,Baxi Manresa,Río Breogán,86,75
2021-09-29,2021-22,Spain ACB,Regular Season,Baxi Manresa,Surne Bilbao Basket,87,79
2021-09-30,2021-22,Spain ACB,Regular Season,Baxi Manresa,UCAM Murcia,103,93
2021-10-01,2021-22,Spain ACB,Regular Season,Baxi Manresa,Unicaja,85,74
2021-10-02,2021-22,Spain ACB,Regular Season,Baxi Manresa,Urbas Fuenlabrada,99,89
2021-10-03,2021-22,Spain ACB,Regular Season,Baxi Manresa,Valencia Basket,69,89
2021-10-04,2021-22,Spain ACB,Regular Season,Bitci Baskonia,Barça,77,96
2021-10-05,2021-22,Spain ACB,Regular Season,Bitci Baskonia,Baxi Manresa,107,85
2021-10-06,2021-22,Spain ACB,Regular Season,Bitci Baskonia,Casademont Zaragoza,91,59
2021-10-07,2021-22,Spain ACB,Regular Season,Bitci Baskonia,Coosur Real Betis,93,72
2021-10-08,2021-22,Spain ACB,Regular Season,Bitci Baskonia,Gran Canaria,70,86
