date,season,league,gameType,home_team,away_team,home_score,away_score
2021-10-01,2021-22,Turkey BSL,Regular Season,Anadolu Efes,Bahçeşehir Koleji,95,88
2021-10-01,2021-22,Turkey BSL,Regular Season,Anadolu Efes,Beşiktaş Icrypex,87,72
2021-10-02,2021-22,Turkey BSL,Regular Season,Anadolu Efes,Büyükçekmece Basketbol,89,90
2021-10-03,2021-22,Turkey BSL,Regular Season,Anadolu Efes,Darüşşafaka,84,76
2021-10-04,2021-22,Turkey BSL,Regular Season,Anadolu Efes,Fenerbahçe Beko,91,71
2021-10-05,2021-22,Turkey BSL,Regular Season,Anadolu Efes,Frutti Extra Bursaspor,88,85
2021-10-06,2021-22,Turkey BSL,Regular Season,Anadolu Efes,Galatasaray Nef,85,92
2021-10-07,2021-22,Turkey BSL,Regular Season,Anadolu Efes,Gaziantep Basketbol,83,93
2021-10-08,2021-22,Turkey BSL,Regular Season,Anadolu Efes,HDI Sigorta Afyon Belediye,90,68
2021-10-09,2021-22,Turkey BSL,Regular Season,Anadolu Efes,Petkim Spor,97,83
2021-10-10,2021-22,Turkey BSL,Regular Season,Anadolu Efes,Pınar Karşıyaka,78,77
2021-10-11,2021-22,Turkey BSL,Regular Season,Anadolu Efes,Semt77 Yalovaspor,93,87
2021-10-12,2021-22,Turkey BSL,Regular Season,Anadolu Efes,Tofaş,84,77
2021-10-13,2021-22,Turkey BSL,Regular Season,Anadolu Efes,Türk Telekom,79,66
2021-10-14,2021-22,Turkey BSL,Regular Season,Anadolu Efes,Yukatel Merkezefendi Basket,94,93
2021-10-15,2021-22,Turkey BSL,Regular Season,Bahçeşehir Koleji,Anadolu Efes,83,102
2021-10-16,2021-22,Turkey BSL,Regular Season,Bahçeşehir Koleji,Beşiktaş Icrypex,86,77
2021-10-17,2021-22,Turkey BSL,Regular Season,Bahçeşehir Koleji,Büyükçekmece Basketbol,87,91
2021-10-18,2021-22,Turkey BSL,Regular Season,Bahçeşehir Koleji,Darüşşafaka,82,73
2021-10-19,2021-22,Turkey BSL,Regular Season,Bahçeşehir Koleji,Fenerbahçe Beko,78,79
2021-10-20,2021-22,Turkey BSL,Regular Season,Bahçeşehir Koleji,Frutti Extra Bursaspor,101,80
2021-10-21,2021-22,Turkey BSL,Regular Season,Bahçeşehir Koleji,Galatasaray Nef,94,88
2021-10-22,2021-22,Turkey BSL,Regular Season,Bahçeşehir Koleji,Gaziantep Basketbol,82,74
2021-10-23,2021-22,Turkey BSL,Regular Season,Bahçeşehir Koleji,HDI Sigorta Afyon Belediye,105,77
