Strategy,Bets,OutrightWR,ATS_WR,Gap,League
S5 Home Form Edge +5,415,79.3,63.1,16.1,Euroleague
S6 Dominant Away vs Losing Home,105,54.3,31.4,22.9,Euroleague
S8 Hot Home vs Cold Away (5g),122,82.0,63.9,18.0,Euroleague
S9 Triple-Edge Home,151,79.5,68.9,10.6,Euroleague
S11 Form Gap >8,811,67.7,49.2,18.5,Euroleague
S13 Mild Form Edge,690,77.5,65.5,12.0,Euroleague
S14 Home Consistency,352,75.3,64.2,11.1,Euroleague
S15 20g Hot Home,289,78.5,66.4,12.1,Euroleague
S16 Mid-Season Form + Szn Lead,379,82.3,68.6,13.7,Euroleague
S20 Late-Season Edge >15%,75,68.0,56.0,12.0,Euroleague
S4 Win-Rate Gap >25%,1004,64.4,50.5,13.9,Euroleague
S5 Home Form Edge +5,324,79.6,60.2,19.4,EuroCup
S6 Dominant Away vs Losing Home,102,70.6,45.1,25.5,EuroCup
S8 Hot Home vs Cold Away (5g),96,82.3,53.1,29.2,EuroCup
S9 Triple-Edge Home,75,82.7,69.3,13.3,EuroCup
S11 Form Gap >8,609,73.7,53.2,20.5,EuroCup
S13 Mild Form Edge,460,76.3,60.4,15.9,EuroCup
S14 Home Consistency,335,75.8,63.0,12.8,EuroCup
S15 20g Hot Home,293,78.2,63.1,15.0,EuroCup
S16 Mid-Season Form + Szn Lead,258,81.8,63.6,18.2,EuroCup
S4 Win-Rate Gap >25%,649,70.1,53.6,16.5,EuroCup
S5 Home Form Edge +5,347,80.4,64.8,15.6,Spain ACB
S6 Dominant Away vs Losing Home,53,69.8,45.3,24.5,Spain ACB
S8 Hot Home vs Cold Away (5g),152,78.9,59.9,19.1,Spain ACB
S11 Form Gap >8,563,75.3,56.1,19.2,Spain ACB
S13 Mild Form Edge,490,77.1,63.1,14.1,Spain ACB
S14 Home Consistency,311,77.8,64.0,13.8,Spain ACB
S15 20g Hot Home,226,81.0,66.4,14.6,Spain ACB
S16 Mid-Season Form + Szn Lead,231,78.4,62.8,15.6,Spain ACB
S20 Late-Season Edge >15%,260,73.1,62.7,10.4,Spain ACB
S4 Win-Rate Gap >25%,622,73.5,57.6,15.9,Spain ACB
S5 Home Form Edge +5,193,78.8,56.5,22.3,Turkey BSL
