Strategy,Bets,WinRate%,ROI%,PnL_u,League
S9  Triple-Edge Home,75,82.67,57.82,43.36,EuroCup
S8  Hot Home vs Cold Away (5g),96,82.29,57.1,54.82,EuroCup
S16 Mid-Season Form + Szn Lead,258,81.78,56.13,144.82,EuroCup
S5  Home Form Edge +5,324,79.63,52.02,168.55,EuroCup
S15 20g Hot Home,293,78.16,49.21,144.18,EuroCup
S13 Mild Form Edge,460,76.3,45.67,210.09,EuroCup
S14 Home Consistency,335,75.82,44.75,149.91,EuroCup
S11 Form Gap >8,609,73.73,40.75,248.18,EuroCup
S6  Dominant Away vs Losing Home,102,70.59,34.76,35.45,EuroCup
S4  Win-Rate Gap >25%,649,70.11,33.84,219.64,EuroCup
S17 Cold 3g Home Streak,99,65.66,25.34,25.09,EuroCup
S12 Away +30% WR + Rest,275,64.0,22.18,61.0,EuroCup
S21 Early-Season WR Edge >25%,222,63.96,22.11,49.09,EuroCup
S22 Mild Diff Gap 5-8,275,63.27,20.79,57.18,EuroCup
S24 Tank vs Tank -> Home,101,62.38,19.08,19.27,EuroCup
S10 Elite Away vs Weak Home,181,61.88,18.13,32.82,EuroCup
S23 Elite vs Elite -> Home,194,60.82,16.12,31.27,EuroCup
S18 Hot Away 5g + Rest,177,59.32,13.25,23.45,EuroCup
S16 Mid-Season Form + Szn Lead,379,82.32,57.16,216.64,Euroleague
S8  Hot Home vs Cold Away (5g),122,81.97,56.48,68.91,Euroleague
S9  Triple-Edge Home,151,79.47,51.72,78.09,Euroleague
S5  Home Form Edge +5,415,79.28,51.35,213.09,Euroleague
S15 20g Hot Home,289,78.55,49.95,144.36,Euroleague
S13 Mild Form Edge,690,77.54,48.02,331.36,Euroleague
S14 Home Consistency,352,75.28,43.72,153.91,Euroleague
S20 Late-Season Season Edge >15%,75,68.0,29.82,22.36,Euroleague
S11 Form Gap >8,811,67.69,29.23,237.09,Euroleague
S4  Win-Rate Gap >25%,1004,64.44,23.03,231.18,Euroleague
S22 Mild Diff Gap 5-8,545,60.73,15.95,86.91,Euroleague
S24 Tank vs Tank -> Home,171,59.65,13.88,23.73,Euroleague
S21 Early-Season WR Edge >25%,292,58.22,11.15,32.55,Euroleague
S23 Elite vs Elite -> Home,189,57.67,10.1,19.09,Euroleague
S17 Cold 3g Home Streak,170,55.88,6.68,11.36,Euroleague
S6  Dominant Away vs Losing Home,105,54.29,3.64,3.82,Euroleague
S10 Elite Away vs Weak Home,274,53.28,1.73,4.73,Euroleague
S12 Away +30% WR + Rest,382,53.14,1.45,5.55,Euroleague
S18 Hot Away 5g + Rest,298,50.34,-3.9,-11.64,Euroleague
S15 20g Hot Home,83,79.52,51.81,43.0,France LNB
S5  Home Form Edge +5,153,76.47,45.99,70.36,France LNB
S20 Late-Season Season Edge >15%,160,76.25,45.57,72.91,France LNB
S16 Mid-Season Form + Szn Lead,138,75.36,43.87,60.55,France LNB
S17 Cold 3g Home Streak,32,75.0,43.18,13.82,France LNB
S13 Mild Form Edge,207,73.91,41.11,85.09,France LNB
S8  Hot Home vs Cold Away (5g),65,73.85,40.98,26.64,France LNB
S11 Form Gap >8,326,73.62,40.55,132.18,France LNB
S12 Away +30% WR + Rest,118,72.88,39.14,46.18,France LNB
S14 Home Consistency,134,72.39,38.2,51.18,France LNB
S4  Win-Rate Gap >25%,329,72.34,38.1,125.36,France LNB
S6  Dominant Away vs Losing Home,36,72.22,37.88,13.64,France LNB
S18 Hot Away 5g + Rest,57,68.42,30.62,17.45,France LNB
S10 Elite Away vs Weak Home,65,66.15,26.29,17.09,France LNB
S22 Mild Diff Gap 5-8,111,61.26,16.95,18.82,France LNB
S23 Elite vs Elite -> Home,47,53.19,1.55,0.73,France LNB
S24 Tank vs Tank -> Home,54,48.15,-8.08,-4.36,France LNB
S19 Late-Season Big Mismatch,39,82.05,56.64,22.09,Germany BBL
S6  Dominant Away vs Losing Home,80,81.25,55.11,44.09,Germany BBL
S8  Hot Home vs Cold Away (5g),142,80.28,53.27,75.64,Germany BBL
S15 20g Hot Home,189,78.84,50.51,95.45,Germany BBL
S5  Home Form Edge +5,311,78.78,50.39,156.73,Germany BBL
S14 Home Consistency,276,76.81,46.64,128.73,Germany BBL
S10 Elite Away vs Weak Home,115,74.78,42.77,49.18,Germany BBL
S16 Mid-Season Form + Szn Lead,186,74.73,42.67,79.36,Germany BBL
S13 Mild Form Edge,438,73.97,41.22,180.55,Germany BBL
S11 Form Gap >8,583,73.58,40.48,236.0,Germany BBL
S4  Win-Rate Gap >25%,573,71.2,35.94,205.91,Germany BBL
S20 Late-Season Season Edge >15%,247,70.85,35.26,87.09,Germany BBL
S12 Away +30% WR + Rest,176,69.89,33.42,58.82,Germany BBL
S18 Hot Away 5g + Rest,84,69.05,31.82,26.73,Germany BBL
S21 Early-Season WR Edge >25%,61,67.21,28.32,17.27,Germany BBL
S22 Mild Diff Gap 5-8,220,61.36,17.15,37.73,Germany BBL
S23 Elite vs Elite -> Home,97,57.73,10.22,9.91,Germany BBL
S17 Cold 3g Home Streak,47,57.45,9.67,4.55,Germany BBL
S24 Tank vs Tank -> Home,99,48.48,-7.44,-7.36,Germany BBL
S5  Home Form Edge +5,71,87.32,66.71,47.36,Israel BSL
S15 20g Hot Home,37,86.49,65.11,24.09,Israel BSL
S13 Mild Form Edge,99,84.85,61.98,61.36,Israel BSL
S16 Mid-Season Form + Szn Lead,135,81.48,55.56,75.0,Israel BSL
S8  Hot Home vs Cold Away (5g),75,78.67,50.18,37.64,Israel BSL
S14 Home Consistency,67,74.63,42.47,28.45,Israel BSL
S11 Form Gap >8,409,71.39,36.3,148.45,Israel BSL
S20 Late-Season Season Edge >15%,137,70.8,35.17,48.18,Israel BSL
S4  Win-Rate Gap >25%,432,68.75,31.25,135.0,Israel BSL
S24 Tank vs Tank -> Home,52,67.31,28.5,14.82,Israel BSL
S6  Dominant Away vs Losing Home,123,66.67,27.27,33.55,Israel BSL
S18 Hot Away 5g + Rest,137,63.5,21.23,29.09,Israel BSL
S12 Away +30% WR + Rest,223,63.23,20.71,46.18,Israel BSL
S17 Cold 3g Home Streak,96,62.5,19.32,18.55,Israel BSL
S10 Elite Away vs Weak Home,203,61.58,17.55,35.64,Israel BSL
S22 Mild Diff Gap 5-8,76,57.89,10.53,8.0,Israel BSL
S15 20g Hot Home,91,81.32,55.24,50.27,Italy LBA
S14 Home Consistency,159,74.21,41.68,66.27,Italy LBA
S5  Home Form Edge +5,201,73.13,39.62,79.64,Italy LBA
S20 Late-Season Season Edge >15%,130,72.31,38.04,49.45,Italy LBA
S13 Mild Form Edge,271,71.22,35.96,97.45,Italy LBA
S8  Hot Home vs Cold Away (5g),92,70.65,34.88,32.09,Italy LBA
S16 Mid-Season Form + Szn Lead,118,68.64,31.05,36.64,Italy LBA
S11 Form Gap >8,331,68.28,30.35,100.45,Italy LBA
S4  Win-Rate Gap >25%,332,66.87,27.66,91.82,Italy LBA
S24 Tank vs Tank -> Home,46,63.04,20.36,9.36,Italy LBA
S17 Cold 3g Home Streak,34,61.76,17.91,6.09,Italy LBA
S21 Early-Season WR Edge >25%,57,61.4,17.22,9.82,Italy LBA
S22 Mild Diff Gap 5-8,155,60.0,14.55,22.55,Italy LBA
S10 Elite Away vs Weak Home,67,59.7,13.98,9.36,Italy LBA
S12 Away +30% WR + Rest,87,58.62,11.91,10.36,Italy LBA
S23 Elite vs Elite -> Home,49,57.14,9.09,4.45,Italy LBA
S18 Hot Away 5g + Rest,55,56.36,7.6,4.18,Italy LBA
S10 Elite Away vs Weak Home,56,89.29,70.45,39.45,Lithuania LKL
S17 Cold 3g Home Streak,34,88.24,68.45,23.27,Lithuania LKL
S18 Hot Away 5g + Rest,50,86.0,64.18,32.09,Lithuania LKL
S8  Hot Home vs Cold Away (5g),49,85.71,63.64,31.18,Lithuania LKL
S12 Away +30% WR + Rest,83,84.34,61.01,50.64,Lithuania LKL
S20 Late-Season Season Edge >15%,100,83.0,58.45,58.45,Lithuania LKL
S4  Win-Rate Gap >25%,221,82.35,57.22,126.45,Lithuania LKL
S11 Form Gap >8,246,81.3,55.21,135.82,Lithuania LKL
S15 20g Hot Home,121,78.51,49.89,60.36,Lithuania LKL
S5  Home Form Edge +5,147,76.87,46.75,68.73,Lithuania LKL
S13 Mild Form Edge,172,75.0,43.18,74.27,Lithuania LKL
S14 Home Consistency,164,71.34,36.2,59.36,Lithuania LKL
S16 Mid-Season Form + Szn Lead,90,67.78,29.39,26.45,Lithuania LKL
S22 Mild Diff Gap 5-8,59,61.02,16.49,9.73,Lithuania LKL
S23 Elite vs Elite -> Home,63,44.44,-15.15,-9.55,Lithuania LKL
S19 Late-Season Big Mismatch,39,97.44,86.01,33.55,Spain ACB
S15 20g Hot Home,226,80.97,54.59,123.36,Spain ACB
S5  Home Form Edge +5,347,80.4,53.5,185.64,Spain ACB
S8  Hot Home vs Cold Away (5g),152,78.95,50.72,77.09,Spain ACB
S16 Mid-Season Form + Szn Lead,231,78.35,49.59,114.55,Spain ACB
S14 Home Consistency,311,77.81,48.55,151.0,Spain ACB
S13 Mild Form Edge,490,77.14,47.27,231.64,Spain ACB
S11 Form Gap >8,563,75.31,43.78,246.45,Spain ACB
S4  Win-Rate Gap >25%,622,73.47,40.27,250.45,Spain ACB
S20 Late-Season Season Edge >15%,260,73.08,39.51,102.73,Spain ACB
S6  Dominant Away vs Losing Home,53,69.81,33.28,17.64,Spain ACB
S10 Elite Away vs Weak Home,96,65.62,25.28,24.27,Spain ACB
S18 Hot Away 5g + Rest,83,65.06,24.21,20.09,Spain ACB
S12 Away +30% WR + Rest,152,63.82,21.83,33.18,Spain ACB
S22 Mild Diff Gap 5-8,238,62.61,19.52,46.45,Spain ACB
S21 Early-Season WR Edge >25%,104,61.54,17.48,18.18,Spain ACB
S17 Cold 3g Home Streak,44,61.36,17.15,7.55,Spain ACB
S24 Tank vs Tank -> Home,96,55.21,5.4,5.18,Spain ACB
S23 Elite vs Elite -> Home,113,52.21,-0.32,-0.36,Spain ACB
S15 20g Hot Home,113,85.84,63.88,72.18,Turkey BSL
S6  Dominant Away vs Losing Home,96,80.21,53.12,51.0,Turkey BSL
S5  Home Form Edge +5,193,78.76,50.35,97.18,Turkey BSL
S14 Home Consistency,163,77.91,48.75,79.45,Turkey BSL
S8  Hot Home vs Cold Away (5g),100,76.0,45.09,45.09,Turkey BSL
S13 Mild Form Edge,269,75.46,44.07,118.55,Turkey BSL
S16 Mid-Season Form + Szn Lead,186,74.19,41.64,77.45,Turkey BSL
S20 Late-Season Season Edge >15%,183,71.58,36.66,67.09,Turkey BSL
S11 Form Gap >8,490,70.82,35.19,172.45,Turkey BSL
S17 Cold 3g Home Streak,75,69.33,32.36,24.27,Turkey BSL
S4  Win-Rate Gap >25%,526,69.2,32.11,168.91,Turkey BSL
